"","stationName","latitude","longitude","stAddress1"
"125","Christopher St & Greenwich St","40.73291553","-74.00711384","Christopher St & Greenwich St"
"126","E 47 St & Park Ave","40.75510267","-73.97498696","E 47 St & Park Ave"
"127","William St & Pine St","40.70717936","-74.00887308","William St & Pine St"
"128","Allen St & Hester St","40.71605866","-73.99190759","Allen St & Hester St"
"129","Broadway & W 37 St","40.75172632","-73.98753523","Broadway & W 37 St"
"130","West Thames St","40.70834698","-74.01713445","West Thames St"
"131","Lafayette Ave & Classon Ave","40.68900443","-73.96023854","Lafayette Ave & Classon Ave"
"132","Fulton St & Grand Ave","40.68223166","-73.9614583","Fulton St & Grand Ave"
"133","Clinton Ave & Myrtle Ave","40.693261","-73.968896","Clinton Ave & Myrtle Ave"
"134","Carmine St & 6 Ave","40.73038599","-74.00214988","Carmine St & 6 Ave"
"135","Washington Pl & 6 Ave","40.73224119","-74.00026394","Washington Pl & 6 Ave"
"136","Franklin Ave & Myrtle Ave","40.694546087246","-73.9580136537552","Franklin Ave & Myrtle Ave"
"137","Willoughby Ave & Walworth St","40.69331716","-73.95381995","Willoughby Ave & Walworth St"
"138","John St & William St","40.70862144","-74.00722156","John St & William St"
"139","W 31 St & 7 Ave","40.749156","-73.9916","W 31 St & 7 Ave"
"140","W 4 St & 7 Ave S","40.73401143","-74.00293877","W 4 St & 7 Ave S"
"141","University Pl & E 14 St","40.73492695","-73.99200509","University Pl & E 14 St"
"142","Greenwich Ave & Charles St","40.735238","-74.000271","Greenwich Ave & Charles St"
"143","E 55 St & 2 Ave","40.75797322","-73.96603308","E 55 St & 2 Ave"
"144","Centre St & Worth St","40.71494807","-74.00234482","Centre St & Worth St"
"145","Centre St & Chambers St","40.71273266","-74.0046073","Centre St & Chambers St"
"146","W 26 St & 10 Ave","40.749717753","-74.002950346","W 26 St & 10 Ave"
"147","Broadway & Berry St","40.71044554","-73.96525063","Broadway & Berry St"
"148","Duffield St & Willoughby St","40.69221589","-73.9842844","Duffield St & Willoughby St"
"149","Clark St & Henry St","40.69760127","-73.99344559","Clark St & Henry St"
"150","Jay St & Tech Pl","40.695065","-73.987167","Jay St & Tech Pl"
"151","E 5 St & Avenue C","40.72299208","-73.97995466","E 5 St & Avenue C"
"152","E 9 St & Avenue C","40.72521311","-73.97768752","E 9 St & Avenue C"
"153","Lefferts Pl & Franklin Ave","40.680342423","-73.9557689392","Lefferts Pl & Franklin Ave"
