"","name","Measure","geo_type_name","geo_entity_id","geo_entity_name","year_description","data_value"
"69","Black Carbon","Mean","CD",110,"Central Harlem (CD10)","Annual Average 2016",1.09
"70","Black Carbon","Mean","CD",111,"East Harlem (CD11)","Annual Average 2016",1.1
"71","Black Carbon","Mean","CD",112,"Washington Heights and Inwood (CD12)","Annual Average 2016",1
"72","Black Carbon","Mean","CD",201,"Mott Haven and Melrose (CD1)","Annual Average 2016",1.12
"73","Black Carbon","Mean","CD",202,"Hunts Point and Longwood (CD2)","Annual Average 2016",1.08
"74","Black Carbon","Mean","CD",203,"Morrisania and Crotona (CD3)","Annual Average 2016",0.97
"75","Black Carbon","Mean","CD",204,"Highbridge and Concourse (CD4)","Annual Average 2016",1.07
"76","Black Carbon","Mean","CD",205,"Fordham and University Heights (CD5)","Annual Average 2016",1.12
"77","Black Carbon","Mean","CD",206,"Belmont and East Tremont (CD6)","Annual Average 2016",1.01
"78","Black Carbon","Mean","CD",207,"Kingsbridge Heights and Bedford (CD7)","Annual Average 2016",0.92
"79","Black Carbon","Mean","CD",208,"Riverdale and Fieldston (CD8)","Annual Average 2016",0.81
"80","Black Carbon","Mean","CD",209,"Parkchester and Soundview (CD9)","Annual Average 2016",0.9
"81","Black Carbon","Mean","CD",210,"Throgs Neck and Co-op City (CD10)","Annual Average 2016",0.88
"82","Black Carbon","Mean","CD",211,"Morris Park and Bronxdale (CD11)","Annual Average 2016",0.83
"83","Black Carbon","Mean","CD",212,"Williamsbridge and Baychester (CD12)","Annual Average 2016",0.82
"84","Black Carbon","Mean","CD",301,"Greenpoint and Williamsburg (CD1)","Annual Average 2016",1.22
"85","Black Carbon","Mean","CD",302,"Fort Greene and Brooklyn Heights (CD2)","Annual Average 2016",1.04
"86","Black Carbon","Mean","CD",303,"Bedford Stuyvesant (CD3)","Annual Average 2016",0.83
"87","Black Carbon","Mean","CD",304,"Bushwick (CD4)","Annual Average 2016",0.87
"88","Black Carbon","Mean","CD",305,"East New York and Starrett City (CD5)","Annual Average 2016",0.83
"89","Black Carbon","Mean","CD",306,"Park Slope and Carroll Gardens (CD6)","Annual Average 2016",1.06
"90","Black Carbon","Mean","CD",307,"Sunset Park (CD7)","Annual Average 2016",0.99
"91","Black Carbon","Mean","CD",308,"Crown Heights and Prospect Heights (CD8)","Annual Average 2016",0.87
"92","Black Carbon","Mean","CD",309,"South Crown Heights and Lefferts Gardens (CD9)","Annual Average 2016",0.78
"93","Black Carbon","Mean","CD",310,"Bay Ridge and Dyker Heights (CD10)","Annual Average 2016",0.81
"94","Black Carbon","Mean","CD",311,"Bensonhurst (CD11)","Annual Average 2016",0.7
"95","Black Carbon","Mean","CD",312,"Borough Park (CD12)","Annual Average 2016",0.74
"96","Black Carbon","Mean","CD",313,"Coney Island (CD13)","Annual Average 2016",0.65
"97","Black Carbon","Mean","CD",314,"Flatbush and Midwood (CD14)","Annual Average 2016",0.75
"98","Black Carbon","Mean","CD",315,"Sheepshead Bay (CD15)","Annual Average 2016",0.67
"99","Black Carbon","Mean","CD",316,"Brownsville (CD16)","Annual Average 2016",0.85
"100","Black Carbon","Mean","CD",317,"East Flatbush (CD17)","Annual Average 2016",0.81
"101","Black Carbon","Mean","CD",318,"Flatlands and Canarsie (CD18)","Annual Average 2016",0.68
"102","Black Carbon","Mean","CD",401,"Long Island City and Astoria (CD1)","Annual Average 2016",0.88
"103","Black Carbon","Mean","CD",402,"Woodside and Sunnyside (CD2)","Annual Average 2016",1.21
"104","Black Carbon","Mean","CD",403,"Jackson Heights (CD3)","Annual Average 2016",0.77
"105","Black Carbon","Mean","CD",404,"Elmhurst and Corona (CD4)","Annual Average 2016",0.87
"106","Black Carbon","Mean","CD",405,"Ridgewood and Maspeth (CD5)","Annual Average 2016",0.86
"107","Black Carbon","Mean","CD",406,"Rego Park and Forest Hills (CD6)","Annual Average 2016",0.83
"108","Black Carbon","Mean","CD",407,"Flushing and Whitestone (CD7)","Annual Average 2016",0.8
"109","Black Carbon","Mean","CD",408,"Hillcrest and Fresh Meadows (CD8)","Annual Average 2016",0.77
"110","Black Carbon","Mean","CD",409,"Kew Gardens and Woodhaven (CD9)","Annual Average 2016",0.77
"111","Black Carbon","Mean","CD",410,"South Ozone Park and Howard Beach (CD10)","Annual Average 2016",0.68
"112","Black Carbon","Mean","CD",411,"Bayside and Little Neck (CD11)","Annual Average 2016",0.77
"113","Black Carbon","Mean","CD",412,"Jamaica and Hollis (CD12)","Annual Average 2016",0.75
"114","Black Carbon","Mean","CD",413,"Queens Village (CD13)","Annual Average 2016",0.68
"115","Black Carbon","Mean","CD",414,"Rockaway and Broad Channel (CD14)","Annual Average 2016",0.56
"116","Black Carbon","Mean","CD",501,"St. George and Stapleton (CD1)","Annual Average 2016",0.72
"117","Black Carbon","Mean","CD",502,"South Beach and Willowbrook (CD2)","Annual Average 2016",0.69
"118","Black Carbon","Mean","CD",503,"Tottenville and Great Kills (CD3)","Annual Average 2016",0.63
"119","Ozone (O3)","Mean","CD",101,"Financial District (CD1)","Summer 2016",29.81
"120","Ozone (O3)","Mean","CD",102,"Greenwich Village and Soho (CD2)","Summer 2016",29.87
"121","Ozone (O3)","Mean","CD",103,"Lower East Side and Chinatown (CD3)","Summer 2016",30.41
"122","Ozone (O3)","Mean","CD",104,"Clinton and Chelsea (CD4)","Summer 2016",29.76
"123","Ozone (O3)","Mean","CD",105,"Midtown (CD5)","Summer 2016",26.92
"124","Ozone (O3)","Mean","CD",106,"Stuyvesant Town and Turtle Bay (CD6)","Summer 2016",28.23
"125","Ozone (O3)","Mean","CD",107,"Upper West Side (CD7)","Summer 2016",30.55
"126","Ozone (O3)","Mean","CD",108,"Upper East Side (CD8)","Summer 2016",30.12
"127","Ozone (O3)","Mean","CD",109,"Morningside Heights and Hamilton Heights (CD9)","Summer 2016",31.29
"128","Ozone (O3)","Mean","CD",110,"Central Harlem (CD10)","Summer 2016",31.42
"129","Ozone (O3)","Mean","CD",111,"East Harlem (CD11)","Summer 2016",31.66
"130","Ozone (O3)","Mean","CD",112,"Washington Heights and Inwood (CD12)","Summer 2016",32.01
"131","Ozone (O3)","Mean","CD",201,"Mott Haven and Melrose (CD1)","Summer 2016",32.81
"132","Ozone (O3)","Mean","CD",202,"Hunts Point and Longwood (CD2)","Summer 2016",33.74
"133","Ozone (O3)","Mean","CD",203,"Morrisania and Crotona (CD3)","Summer 2016",32.58
